width,height,sumofsquares,label
146,121,35957,1
146,122,36200,1
147,121,36250,1
147,122,36493,1
147,122,36493,1
146,127,37445,1
146,125,36941,1
146,126,37192,1
146,127,37445,1
145,125,36650,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,125,36941,1
146,125,36941,1
146,125,36941,1
146,125,36941,1
146,125,36941,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,124,36401,1
145,124,36401,1
146,122,36200,1
146,122,36200,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
146,124,36692,1
147,123,36738,1
147,123,36738,1
145,122,35909,1
145,122,35909,1
145,122,35909,1
145,122,35909,1
145,122,35909,1
146,121,35957,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,123,36445,1
146,121,35957,1
146,121,35957,1
146,121,35957,1
146,121,35957,1
146,121,35957,1
146,121,35957,1
146,121,35957,1
146,121,35957,1
146,121,35957,1
146,121,35957,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
146,122,36200,1
147,121,36250,1
147,121,36250,1
147,122,36493,1
146,120,35716,1
146,120,35716,1
146,120,35716,1
146,120,35716,1
146,120,35716,1
145,125,36650,1
145,125,36650,1
145,126,36901,1
145,126,36901,1
145,126,36901,1
145,126,36901,1
145,126,36901,1
145,126,36901,1
144,124,36112,1
144,124,36112,1
144,125,36361,1
144,125,36361,1
144,125,36361,1
145,123,36154,1
145,124,36401,1
145,124,36401,1
145,124,36401,1
145,124,36401,1
145,124,36401,1
145,124,36401,1
145,125,36650,1
145,125,36650,1
145,125,36650,1
145,125,36650,1
145,125,36650,1
145,125,36650,1
145,125,36650,1
145,125,36650,1
145,125,36650,1
145,125,36650,1
145,125,36650,1
145,126,36901,1
145,126,36901,1
145,126,36901,1
145,126,36901,1
146,125,36941,1
146,125,36941,1
146,125,36941,1
146,126,37192,1
144,123,35865,1
144,123,35865,1
144,123,35865,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
145,123,36154,1
